[2022-07-02 20:27:04,176] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 20:27:04,574] [INFO] Watching for file changes with StatReloader
[2022-07-02 20:27:54,806] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:29:13,304] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 20:29:13,702] [INFO] Watching for file changes with StatReloader
[2022-07-02 20:29:35,490] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:29:43,409] [INFO] /Users/wangzijia/Api_project/Api_project/urls.py changed, reloading.
[2022-07-02 20:29:43,786] [INFO] Watching for file changes with StatReloader
[2022-07-02 20:29:55,130] [INFO] "GET /get_power_list HTTP/1.1" 301 0
[2022-07-02 20:29:55,140] [INFO] "GET /get_power_list/ HTTP/1.1" 200 2
[2022-07-02 20:30:04,265] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 20:30:04,287] [INFO] "GET /static/css/app.2a5c87fa.css HTTP/1.1" 304 0
[2022-07-02 20:30:04,291] [INFO] "GET /static/css/chunk-vendors.dd50ba92.css HTTP/1.1" 304 0
[2022-07-02 20:30:04,291] [INFO] "GET /static/js/chunk-vendors.978f4292.js HTTP/1.1" 304 0
[2022-07-02 20:30:04,299] [INFO] "GET /static/js/app.82b35b9e.js HTTP/1.1" 304 0
[2022-07-02 20:30:04,356] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 20:30:04,370] [INFO] "GET /static/fonts/element-icons.535877f5.woff HTTP/1.1" 304 0
[2022-07-02 20:30:04,371] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 20:30:09,508] [INFO] "GET /admin/ HTTP/1.1" 302 0
[2022-07-02 20:30:09,563] [INFO] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2359
[2022-07-02 20:30:12,468] [INFO] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2022-07-02 20:30:12,499] [INFO] "GET /admin/ HTTP/1.1" 200 9390
[2022-07-02 20:30:14,184] [INFO] "GET /admin/Api_app/db_power_list/ HTTP/1.1" 200 6604
[2022-07-02 20:30:14,203] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 8398
[2022-07-02 20:30:16,221] [INFO] "GET /admin/Api_app/db_power_list/add/ HTTP/1.1" 200 7729
[2022-07-02 20:30:16,234] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 8398
[2022-07-02 20:30:27,415] [INFO] "POST /admin/Api_app/db_power_list/add/ HTTP/1.1" 302 0
